,path,label
50343,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-CTQFTKRL.tif,0
29762,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-VGGFVDMY.tif,3
17514,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-FDFYLEFC.tif,2
45438,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-CHDAKGDS.tif,0
32037,/content/gdrive/MyDrive/NCT-CRC/STR/STR-HTGSRECY.tif,7
48740,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-FIPSCMSI.tif,0
71268,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-KACVTDSK.tif,8
17897,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-HPWPQWWQ.tif,2
1369,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-HMQHHFRY.tif,1
35187,/content/gdrive/MyDrive/NCT-CRC/STR/STR-SRREILPA.tif,7
45013,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GDEQYWVV.tif,0
57000,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-MLFYMPIQ.tif,4
25925,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-ASLINWAK.tif,3
356,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-EFWSMKNK.tif,1
13537,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MNNMMVSD.tif,2
73083,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-WRGARIQF.tif,8
57079,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-HDVGIWHD.tif,4
63635,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-YNRRYQKD.tif,8
25400,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-IKTRWYVG.tif,3
16433,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-LTWSALTC.tif,2
69162,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-DMLATVVL.tif,8
49216,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-NERRWEDM.tif,0
35837,/content/gdrive/MyDrive/NCT-CRC/STR/STR-RANYMKWL.tif,7
50711,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-AYSKMDDL.tif,0
21668,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-SDLCGNQY.tif,3
74758,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-VWDQCRWT.tif,8
38671,/content/gdrive/MyDrive/NCT-CRC/STR/STR-CVTILLIR.tif,7
55855,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-DADWCYIL.tif,4
